"gestion";"mes";"dia";"Fecha";"estacion";"longitud";"latitud";"altura";"Precipitacion";"Temperatura_Maxima";"Temperatura_Minima";"Humedad_Relativa_Maxima";"Humedad_Relativa_Minima";"Humedad_Relativa_Media";"Velocidad_de_Viento_Maxima";"Velocidad_de_Viento_Minima";"Direccion_de_Viento_Maxima";"Direccion_de_Viento_Minima";"eTo"
2020;2;19;19/02/20;"Sarco";-66,175556;-17,384167;2587;"13.00";"27.00";"13.30";"74.00";"42.00";"54.00";"3.70";"0.00";"14.00";"0.00";"5.39"
2020;2;20;20/02/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"13.80";"17.00";"13.30";"98.00";"74.00";"87.00";"5.00";"0.00";"11.00";"0.00";"2.43"
2020;2;20;20/02/20;"Sarco";-66,175556;-17,384167;2587;"14.10";"17.80";"12.80";"89.00";"70.00";"81.00";"0.00";"0.00";"0.00";"0.00";"2.84"
2020;2;21;21/02/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"7.40";"21.40";"12.00";"98.00";"60.00";"86.00";"11.00";"0.00";"13.00";"0.00";"4.04"
2020;2;21;21/02/20;"Sarco";-66,175556;-17,384167;2587;"11.10";"25.50";"11.70";"82.00";"51.00";"67.00";"3.70";"0.00";"12.00";"0.00";"5.17"
2020;2;22;22/02/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"5.10";"21.70";"12.60";"95.00";"54.00";"72.00";"15.00";"5.00";"16.00";"11.00";"4.02"
2020;2;22;22/02/20;"Sarco";-66,175556;-17,384167;2587;"6.60";"24.40";"12.20";;;;;;;;"4.81"
2020;2;23;23/02/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.20";"22.10";"13.20";"73.00";"29.00";"46.00";"7.00";"0.00";"10.00";"0.00";"4.02"
2020;2;23;23/02/20;"Sarco";-66,175556;-17,384167;2587;"0.00";"32.00";"10.00";;;;;;;;"6.93"
2020;2;24;24/02/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"1.10";"24.40";"12.40";"71.00";"30.00";"48.00";"11.00";"0.00";"11.00";"0.00";"4.76"
2020;2;24;24/02/20;"Sarco";-66,175556;-17,384167;2587;"0.00";"30.00";"13.90";;;;;;;;"6.06"
2020;2;25;25/02/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"29.00";"13.40";"76.00";"32.00";"47.00";"15.00";"0.00";"11.00";"0.00";"5.83"
2020;2;25;25/02/20;"Sarco";-66,175556;-17,384167;2587;"0.00";"32.00";"13.30";;;;;;;;"6.62"
2020;2;26;26/02/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"2.80";"21.10";"13.60";"92.00";"70.00";"84.00";"24.00";"0.00";"10.00";"0.00";"3.64"
2020;2;26;26/02/20;"Sarco";-66,175556;-17,384167;2587;"5.20";"22.00";"12.00";"87.00";"73.00";"81.00";"0.00";"0.00";"0.00";"0.00";"4.16"
2020;2;27;27/02/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;;"25.40";;"54.00";"42.00";"46.00";"11.00";"5.00";"15.00";"7.00";
2020;2;27;27/02/20;"Sarco";-66,175556;-17,384167;2587;"4.30";"29.00";"11.70";"74.00";"35.00";"54.00";"15.80";"0.00";"4.00";"0.00";"5.98"
2020;2;28;28/02/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.30";"27.80";"13.80";"83.00";"32.00";"51.00";"15.00";"0.00";"9.00";"0.00";"5.43"
2020;2;28;28/02/20;"Sarco";-66,175556;-17,384167;2587;"0.00";"30.50";"13.30";"73.00";"47.00";"59.00";"31.50";"0.00";"4.00";"0.00";"6.19"
2020;2;29;29/02/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"0.00";"25.60";"14.90";"86.00";"36.00";"60.00";"15.00";"7.00";"15.00";"11.00";"4.66"
2020;2;29;29/02/20;"Sarco";-66,175556;-17,384167;2587;"0.00";"27.20";"12.80";;;;;;;;"5.38"
2020;3;1;01/03/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;"5.90";"24.30";"13.50";"96.00";"45.00";"69.00";"9.00";"5.00";"12.00";"14.00";"4.52"
2020;3;1;01/03/20;"Sarco";-66,175556;-17,384167;2587;"6.20";"26.70";"12.70";;;;;;;;"5.26"
2020;3;2;02/03/20;"Cochabamba_Aeropuerto";-66,174444;-17,416111;2548;;"25.40";;"54.00";"44.00";"48.00";"13.00";"7.00";"7.00";"11.00";
